iter	Passed	Remaining
664	9425	4748
665	9435	4732
666	9445	4715
667	9455	4699
668	9464	4682
669	9475	4667
670	9486	4651
671	9499	4636
672	9513	4622
673	9525	4607
674	9538	4592
675	9550	4577
676	9561	4561
677	9573	4546
678	9585	4531
679	9595	4515
680	9606	4500
681	9617	4484
682	9628	4468
683	9642	4454
684	9654	4439
685	9667	4424
686	9678	4409
687	9691	4395
688	9703	4380
689	9717	4365
690	9729	4351
691	9744	4337
692	9758	4322
693	9770	4308
694	9782	4293
695	9794	4278
696	9807	4263
697	9819	4248
698	9832	4233
699	9843	4218
700	9855	4203
701	9868	4189
702	9880	4174
703	9894	4160
704	9906	4145
705	9919	4130
706	9931	4116
707	9943	4101
708	9956	4086
709	9969	4072
710	9981	4057
711	9995	4043
712	10007	4028
713	10020	4013
714	10033	3999
715	10045	3984
716	10057	3969
717	10069	3954
718	10082	3940
719	10094	3925
720	10105	3910
721	10116	3895
722	10126	3879
723	10138	3864
724	10151	3850
725	10162	3835
726	10172	3820
727	10183	3804
728	10195	3790
729	10205	3774
730	10218	3760
731	10229	3745
732	10243	3731
733	10257	3717
734	10279	3706
735	10302	3695
736	10317	3681
737	10338	3670
738	10359	3658
739	10373	3644
740	10399	3634
741	10413	3620
742	10426	3606
743	10437	3591
744	10450	3577
745	10465	3563
746	10481	3549
747	10496	3536
748	10511	3522
749	10529	3509
750	10551	3498
751	10567	3484
752	10587	3472
753	10610	3461
754	10630	3449
755	10646	3436
756	10665	3423
757	10677	3409
758	10688	3393
759	10699	3378
760	10709	3363
761	10720	3348
762	10730	3333
763	10747	3319
764	10763	3306
765	10782	3293
766	10797	3280
767	10810	3265
768	10829	3252
769	10843	3238
770	10858	3225
771	10872	3211
772	10889	3197
773	10905	3184
774	10920	3170
775	10932	3155
776	10947	3141
777	10964	3128
778	10980	3115
779	10995	3101
780	11013	3088
781	11029	3074
782	11046	3061
783	11062	3047
784	11078	3034
785	11093	3020
786	11106	3005
787	11116	2990
788	11129	2976
789	11142	2961
790	11158	2948
791	11176	2935
792	11191	2921
793	11207	2907
794	11227	2895
795	11245	2882
796	11261	2868
797	11274	2853
798	11289	2840
799	11303	2825
800	11312	2810
801	11324	2795
802	11335	2780
803	11345	2765
804	11358	2751
805	11370	2736
806	11380	2721
807	11390	2706
808	11403	2692
809	11415	2677
810	11424	2662
811	11435	2647
812	11446	2632
813	11456	2617
814	11467	2602
815	11477	2588
816	11487	2573
817	11497	2558
818	11506	2542
819	11515	2527
820	11524	2512
821	11535	2497
822	11545	2482
823	11554	2467
